txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,txtRazaoSocial,valPrincipal,txtTipoContratacao,txtObjetoContrato,coletado
Pregão,4.0,5,0.0,6210202100005303,12,22/02/2022,,0.0,225,0.0,2.0,0.0,0.0,5745.6,5745.6,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5745.6,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Máscara facial almofadada para ventilação não invasiva, adulto, tamanho grande",07/03/21
Inexigibilidade,1.0,30,0.0,6025202100008986,7,25/01/2021,,0.0,226,3000.0,25.0,3000.0,0.0,3000.0,3000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,3000.0,Nota de Empenho para Fornecimento de Serviços,"OBJETO: Transmissão online - Ceciro Cordeiro - Jardim das Oliveiras.

",07/03/21
Pregão,4.0,5,0.0,6210202100013217,12,22/02/2022,,0.0,226,0.0,2.0,0.0,0.0,3294.0,3294.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,3294.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Detergente pré limpeza,07/03/21
Inexigibilidade,1.0,30,0.0,6031202000041356,7,19/01/2022,,0.0,227,615.18,50.0,0.0,0.0,60000.0,60000.0,2021,,Subprefeitura Butantã,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,60000.0,Nota de Empenho para Fornecimento de Serviços,Concessionária – Exercício de 2021 - referente ao consumo anual estimativo de água (SABESP) - dotações 50.10.15.122.3024.2.100.33.90.39.00.00 - Administração da Unidade e 50.10.04.122.3024.2403.33.90.39.00.00 - Manutenção e Operação do descomplica SP.,07/03/21
Pregão,4.0,5,0.0,6210202100012199,12,22/02/2022,,0.0,227,0.0,2.0,0.0,0.0,3804.0,3804.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,3804.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,CLOREXIDINA DIGLICONATO,07/03/21
Inexigibilidade,1.0,5,0.0,6051202000032089,7,31/12/2021,,0.0,228,2795.01,42.0,2795.01,0.0,37000.0,37000.0,2021,,Subprefeitura Pirituba/Jaraguá,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,37000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Despesas com telefonia fixa das diversas unidades desta SUB-PJ para o exercício de 2021,07/03/21
Pregão,4.0,5,0.0,6210202100011770,12,22/02/2022,,0.0,228,0.0,2.0,0.0,0.0,10464.0,10464.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,10464.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,LIDOCAÍNA,07/03/21
Pregão,1.0,5,0.0,6018202100038151,12,05/02/2021,,0.0,229,136000.0,84.0,136000.0,0.0,136000.0,136000.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,136000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,SMS/CDMEC-HEPARINA SODICA 5.000 UI/ML SOLUCAO INJETAVEL FR-AMP. 5 ML,07/03/21
Pregão,4.0,5,0.0,6210202100006539,12,22/02/2022,,0.0,229,0.0,2.0,0.0,0.0,2910.0,2910.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,2910.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,GLICEROL ENEMA 120 MG/ML (12%) FRASCO 500 ML,07/03/21
Pregão,1.0,5,0.0,6018202100049234,12,10/02/2021,,0.0,230,3526000.0,84.0,3526000.0,0.0,3526000.0,3526000.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,3526000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,SMS/CDMEC-PRESERVATIVO FEMININO,07/03/21
Pregão,4.0,5,0.0,6210202100010234,12,22/02/2022,,0.0,230,0.0,2.0,0.0,0.0,375.0,375.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,375.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,ATENOLOL 50 MG COMPRIMIDO,07/03/21
Pregão,1.0,5,0.0,6018202100049277,12,10/02/2021,,0.0,231,1255500.0,84.0,1255500.0,0.0,1255500.0,1255500.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,1255500.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,SMS/CDMEC-PRESERVATIVO FEMININO,07/03/21
Pregão,4.0,5,0.0,6210202000078066,12,22/02/2022,,0.0,231,0.0,2.0,0.0,130.8,0.0,130.8,2021,,Hospital do Servidor Público Municipal,130.8,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,130.8,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"0314077-Pulseira de Identificação Riscos, cor verde, uso hospitalar, personalizada com texto impresso na
cor preta ao longo da pulseira: lesão por pressão",07/03/21
Dispensa de Licitação,1.0,5,0.0,6016202000578412,6,,,0.0,232,0.0,16.0,0.0,0.0,13900.0,13900.0,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,13900.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Aquisição de sofás com bases fixas de 02 lugares.,07/03/21
Pregão,4.0,29,0.0,6210202100004064,12,22/02/2022,,0.0,232,0.0,2.0,0.0,0.0,28265.5,28265.5,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,132218.0,Termo de Contrato para Aquisição de Bens de Consumo e/ou Permanente,MATERIAL PARA USO EM CIRURGIA OTOLÓGICA E NASO-SINUSAL,07/03/21
Pregão,1.0,5,0.0,6040202000015800,12,30/12/2021,,0.0,233,860.0,64.0,0.0,0.0,6192.0,6192.0,2021,,Subprefeitura Itaim Paulista,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,6192.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO, INSTALAÇÃO E MANUTENÇÃO DE APARELHOS PURIFICADORES DE ÁGUA/ATA RP/SUB-IT/2020",07/03/21
Pregão,4.0,5,0.0,6210202100010765,12,22/02/2022,,0.0,233,0.0,2.0,0.0,0.0,9750.0,9750.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,9750.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"CEFUROXIMA SÓDICA EM PÓ PARA SOLUÇÃO INJETÁVEL EM
FRASCO-AMPOLA COM 750 MG",07/03/21
Inexigibilidade,1.0,2,0.0,6020202000107110,7,30/12/2021,,0.0,234,141224888.57,87.0,113305916.02,0.0,927218329.0,996810345.0,2021,,Fundo Municipal de Desenvolvimento de Trânsito,69592016.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,927221329.0,Termo de Contrato - Serviços,Prestação de serviços de engenharia de tráfego e educação de trânsito no Município de São Paulo.,07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202100007039,6,22/02/2022,,0.0,234,1571.0,2.0,0.0,0.0,1571.0,1571.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,1571.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,piçlha ,07/03/21
Inexigibilidade,1.0,5,0.0,6051202000030248,7,,,0.0,235,0.0,42.0,0.0,0.0,102000.0,102000.0,2021,,Subprefeitura Pirituba/Jaraguá,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,102000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Despesas decorrentes do consumo de água e esgoto pelas diversas unidades da Subprefeitura de Pirituba/Jaraguá, para o exercício de 2.021.",07/03/21
Pregão,4.0,5,0.0,6210202100010781,12,22/02/2022,,0.0,235,0.0,2.0,0.0,0.0,3750.0,3750.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,3750.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Dispositivo para coleta múltipla, calibre 21G, com trava de segurança",07/03/21
Dispensa de Licitação,1.0,5,0.0,6016202000578412,6,10/02/2021,,0.0,236,0.0,16.0,0.0,0.0,8000.0,8000.0,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,8000.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Aquisição de sofás com bases fixas de 03 lugares.,07/03/21
Pregão,4.0,5,0.0,6210202100009341,12,22/02/2022,,0.0,236,0.0,2.0,0.0,0.0,231.6,231.6,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,231.6,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,DIAZEPAN 5 MG COMPRIMIDO,07/03/21
Inexigibilidade,1.0,5,0.0,6017201800041755,7,31/12/2021,,0.0,237,10539.6,17.0,0.0,0.0,199397.4,199397.4,2021,,Secretaria Municipal da Fazenda,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,199397.4,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Contratação de Serviços de Abastecimento de Água e de Esgotamento Sanitário,07/03/21
Pregão,4.0,5,0.0,6210202100011338,12,22/02/2022,,0.0,237,0.0,2.0,0.0,0.0,10075.5,10075.5,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,10075.5,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,LACTATO DE MILRINONA EM SOLUÇÃO INJETÁVEL COM 1 MG / ML,07/03/21
Pregão,1.0,5,0.0,6016202001099186,12,20/01/2022,,0.0,238,0.0,16.0,0.0,0.0,226426.2,226426.2,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,226426.2,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Aquisição de 19.140 latas de 400 gramas de Fórmula Infantil em pó de seguimento para lactentes a partir do 6º mês, em atendimento ao Programa Leve Leite",07/03/21
Pregão,4.0,5,0.0,6210202100010900,12,22/02/2022,,0.0,238,0.0,2.0,0.0,0.0,4460.0,4460.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,4460.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Cateter intravenoso, periférico, descartável, estéril (Tipo SAF-T-INTIMA), calibre 22 G",07/03/21
Dispensa de Licitação,1.0,30,0.0,6016202100020049,6,18/02/2021,,0.0,239,32561.07,16.0,0.0,0.0,32561.07,32561.07,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,32561.07,Nota de Empenho para Fornecimento de Serviços,DL MANUTENÇÃO PREDIAL EMEF ABRAO DE MORAES,07/03/21
Pregão,4.0,5,0.0,6210202100012172,12,22/02/2022,,0.0,239,0.0,2.0,0.0,0.0,5925.0,5925.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5925.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,TRAMADOL,07/03/21
Pregão,1.0,5,0.0,6016202001099178,12,20/01/2022,,0.0,240,0.0,16.0,0.0,0.0,659741.04,659741.04,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,659741.04,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Aquisição de  3.886 latas de 400 gramas de Fórmula Infantil em pó de 0 a 6 meses  e 57.421 latas de 400 gramas de Fórmula Infantil em pó de seguimento para lactentes a partir do 6º mês, em atendimento ao Programa Leve Leite.",07/03/21
Pregão,4.0,5,0.0,6210202100009546,12,22/02/2022,,0.0,240,0.0,2.0,0.0,0.0,940.0,940.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,940.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,HIDRALAZINA CLORIDRATO 20 MG/ML ,07/03/21
Dispensa de Licitação,1.0,5,0.0,6016202000578412,6,10/02/2021,,0.0,241,1349.99,16.0,0.0,0.0,1349.99,1349.99,2021,,Secretaria Municipal de Educação,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,1349.99,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Aquisição de puffs com bases fixas.,07/03/21
Pregão,4.0,5,0.0,6210202100010676,12,22/02/2022,,0.0,241,0.0,2.0,0.0,0.0,3360.0,3360.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,3360.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,SIMETICONA 75 MG/ML EMULSÃO ORAL GOTAS FRASCO ,07/03/21
Inexigibilidade,1.0,30,0.0,6025202100007890,7,24/01/2021,,0.0,242,89000.0,25.0,89000.0,0.0,89000.0,89000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,89000.0,Nota de Empenho para Fornecimento de Serviços,"SMC- RIA AUGUSTA (ABERTOS) - Intervenção Visual - Ateliê Digital Analógico - Protagonistas de Máscaras - Aniversário de São Paulo, ",07/03/21
Pregão,4.0,5,0.0,6210202100005079,12,22/02/2022,,0.0,242,0.0,2.0,0.0,0.0,604.8,604.8,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,604.8,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"PROXIMETACAÍNA CLORIDRATO 5 MG/ML (0,5%) SOLUÇÃO
OFTÁLMICA 5 ML",07/03/21
Inexigibilidade,1.0,5,0.0,6051202000031775,7,,,0.0,243,0.0,42.0,0.0,0.0,162500.0,162500.0,2021,,Subprefeitura Pirituba/Jaraguá,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,162500.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Despesas com consumo de energia elétrica das diversas unidades e ligações provisórias nesta SUB-PJ,07/03/21
Dispensa de Licitação,4.0,5,0.0,6210202000078066,6,24/02/2022,,0.0,243,0.0,2.0,0.0,0.0,130.8,130.8,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,130.8,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"PULSEIRA DE IDENTIFICAÇÃO DE RISCOS, COR VERDE",07/03/21
Dispensa de Licitação,1.0,5,0.0,6110202000126393,6,,,0.0,244,0.0,84.0,0.0,0.0,0.0,5195.52,2021,,Fundo Municipal de Saúde,5195.52,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,2597.76,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"SMS/CDMEC-FIO DE NYLON PRETO 2-0, AG 2,5 CM, 1/2 CIRC, TRI, 45 CM¿.",07/03/21
Pregão,4.0,5,0.0,6210202100015031,12,23/02/2022,,0.0,244,0.0,2.0,0.0,0.0,16775.0,16775.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,16775.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Restritor para paciente, tamanho adulto",07/03/21
Pregão,1.0,2,0.0,6040202000002457,12,30/12/2021,,0.0,245,734.57,64.0,376.59,0.0,9576.61,9576.61,2021,,Subprefeitura Itaim Paulista,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36290.28,Termo de Contrato - Serviços,TC 001/SUB-IT/2021 - GERENCIAMENTO DE ABASTECIMENTO DE VEÍCULOS POR MEIO DE CARTÃO MAGNÉTICO OU MICROPROCESSADO,07/03/21
Pregão,4.0,5,0.0,6210202100012946,12,23/02/2022,,0.0,245,0.0,2.0,0.0,0.0,480.0,480.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,480.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,MATERIAL FARMACOLOGICO ,07/03/21
Dispensa de Licitação,1.0,5,0.0,6110202000126393,6,,,0.0,246,0.0,84.0,0.0,0.0,0.0,0.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,49996.8,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"SMS/CDMEC- FIO DE NYLON PRETO 3-0, AG 3,0 CM, 3/8 CIRC, TRI, 45 CM¿, ",07/03/21
Pregão,4.0,5,0.0,6210202100011818,12,23/02/2022,,0.0,246,0.0,2.0,0.0,0.0,19950.0,39900.0,2021,,Hospital do Servidor Público Municipal,19950.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,19950.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Colchão tipo caix de ovo – uso hospitalar

",07/03/21
Não Aplicável,4.0,5,0.0,6210201900080018,8,24/02/2022,,0.0,247,1250.0,2.0,1250.0,0.0,1250.0,1250.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,1250.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,MOLA PARA EMBOLIZAÇÃO ARTERIAL E VENOSA DE VASOS PERIFÉRICOS,07/03/21
Inexigibilidade,1.0,30,0.0,6025202000281648,7,31/01/2021,,0.0,248,4000.0,25.0,0.0,0.0,4000.0,4000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,4000.0,Nota de Empenho para Fornecimento de Serviços,SMC - ONLINE - CCM TREMEMBE - - Espetáculo Musical / Show - Flavinho Melo e Banda Swing de Mesa,07/03/21
Pregão,4.0,5,0.0,6210202100010919,12,23/02/2022,,0.0,248,0.0,2.0,0.0,0.0,15762.0,15762.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,15762.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"Cateter venoso central de dupla via, 16G, 18G",07/03/21
Pregão,1.0,5,0.0,6018202100050542,12,10/02/2021,,0.0,249,3640.0,84.0,0.0,0.0,3640.0,3640.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,3640.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"SMS/CDMEC - GESSO COMUM , TIPO II,1 KG - ATA DE REGISTRO DE PREÇO nº 040/2019-SMS.G.",07/03/21
Dispensa de Licitação,4.0,2,0.0,6210202100014795,6,24/02/2022,,0.0,249,0.0,2.0,0.0,0.0,809809.56,4857857.36,2021,,Hospital do Servidor Público Municipal,4048047.8,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,4857857.36,Termo de Contrato - Serviços,SERVIÇO DE LIMPEZA TECNICA HOSPITALAR,07/03/21
Dispensa de Licitação,1.0,5,0.0,6110202000126393,6,,,0.0,250,0.0,84.0,0.0,0.0,0.0,0.0,2021,,Fundo Municipal de Saúde,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,9072.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"SMS/CDMEC-FIO SINTÉTICO ABSORVÍVEL TRANÇADO 4-0, AG 2,0 CM, 1/2 CIRC, CIL, 70 CM, ",07/03/21
Pregão,4.0,5,0.0,6210202100013438,12,23/02/2022,,0.0,250,0.0,2.0,0.0,0.0,182.0,182.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,182.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,METOCLOPRAMIDA CLORIDRATO 10 MG COMPRIMIDO ,07/03/21
Pregão,1.0,2,0.0,6040201900018904,12,30/12/2021,,0.0,251,369.09,64.0,0.0,0.0,26225.79,26225.79,2021,,Subprefeitura Itaim Paulista,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,26225.79,Termo de Contrato - Serviços,SERVIÇOS DE MOTOFRETE/TC º 010/SUB-IT/14/EXERCÍCIO 2021,07/03/21
Pregão,4.0,5,0.0,6210202100014540,12,23/02/2022,,0.0,251,0.0,2.0,0.0,0.0,706.8,706.8,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,706.8,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,MISOPROSTOL EM COMPRIMIDOS VAGINAIS COM 25 MCG,07/03/21
Dispensa de Licitação,1.0,30,0.0,6056202000106381,6,30/12/2021,,0.0,252,0.0,49.0,0.0,0.0,25000.0,25000.0,2021,,Subprefeitura Sé,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,25000.0,Nota de Empenho para Fornecimento de Serviços,SABESP - PÇA. PRINCESA ISABEL,07/03/21
Pregão,4.0,29,0.0,6210202100010897,12,24/02/2022,,0.0,252,0.0,2.0,0.0,0.0,340.0,340.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,4250.0,Termo de Contrato para Aquisição de Bens de Consumo e/ou Permanente,"Cateter TIG para Coronariografia por acesso pela Artéria Radial – calibre 5F, comprimento: 100 CM",07/03/21
Inexigibilidade,1.0,30,0.0,6021202000076520,7,26/01/2021,,0.0,253,2789.3,21.0,2789.3,0.0,2789.3,2789.3,2021,,Procuradoria Geral do Município - PGM,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,2789.3,Nota de Empenho para Fornecimento de Serviços,depósito judicial – pagamento de perito ,07/03/21
Pregão,4.0,5,0.0,6210202100013080,12,24/02/2022,,0.0,253,0.0,2.0,0.0,0.0,920.0,920.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,920.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"BENZILPENICILINA PROCAÍNA 300.000 UI +
BENZILPENICILINA POTÁSSICA 100.000 UI SUSPENSÃO INJETÁVEL FRAMP
",07/03/21
Dispensa de Licitação,1.0,30,0.0,6035202000014695,6,30/12/2021,,0.0,254,0.0,71.0,0.0,0.0,70000.0,70000.0,2021,,Subprefeitura Cidade Tiradentes,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,70000.0,Nota de Empenho para Fornecimento de Serviços,Serviço de fornecimento de energia elétrica,07/03/21
Pregão,4.0,5,0.0,6210202100014990,12,24/02/2022,,0.0,254,0.0,2.0,0.0,0.0,5508.0,5508.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5508.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,"FIO CIRURGICO, POLIGLACTINA, COLORIDO, 2-0,
ABSORV, TRANCADO, 70 CM, AGULHA 1/2 CIRCULO, CILINDRICA, 2,5
CM",07/03/21
Inexigibilidade,1.0,30,0.0,6025202100008471,7,25/01/2021,,0.0,255,104000.0,25.0,104000.0,0.0,104000.0,104000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,104000.0,Nota de Empenho para Fornecimento de Serviços,SMC - ONLINE - Intervenção Artística -  Sorriso na Máscara - Edição Aniversário de São Paulo.,07/03/21
Pregão,4.0,29,0.0,6210202100006750,12,24/02/2022,,0.0,255,0.0,2.0,0.0,0.0,29354.4,29354.4,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,29354.4,Termo de Contrato para Aquisição de Bens de Consumo e/ou Permanente,Dieta Enteral ,07/03/21
Inexigibilidade,1.0,30,0.0,6025202100008072,7,25/01/2021,,0.0,256,21000.0,25.0,21000.0,0.0,21000.0,21000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,21000.0,Nota de Empenho para Fornecimento de Serviços,"SMC - CENTRO HISTORICO DE SAO PAULO -  Intervenção Artística - VAI PASSAR - INTERVENÇÃO ARTÍSTICA URBANA COVID 19 - Aniversário de São Paulo, ",07/03/21
Pregão,4.0,5,0.0,6210202100012547,12,25/02/2022,,0.0,256,0.0,2.0,0.0,0.0,234.0,234.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,234.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente, DOXAZOSINA 2 MG COMPRIMIDO,07/03/21
Inexigibilidade,1.0,30,0.0,6025202100009516,7,24/01/2021,,0.0,257,3300.0,25.0,3300.0,0.0,3300.0,3300.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,3300.0,Nota de Empenho para Fornecimento de Serviços,"SMC - ONLINE - CSMB - Espetáculo teatral - NÚCLEO ABSURDA CONFRARIA - DE PORTAS FECHADAS + CULTURA ONLINE, integrando a programação do evento ""Aniversário de São Paulo"".",07/03/21
Pregão,4.0,5,0.0,6210202100011737,12,24/02/2022,,0.0,257,0.0,2.0,0.0,0.0,5400.0,5400.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,5400.0,Nota de Empenho Fornecimento de Bens de Consumo e/ou Permanente,Capa para colchão tipo caixa de ovo,07/03/21
Inexigibilidade,1.0,30,0.0,6025202100009737,7,25/01/2021,,0.0,258,2500.0,25.0,0.0,0.0,2500.0,2500.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,2500.0,Nota de Empenho para Fornecimento de Serviços,SMC - CC HIP HOP PERUS - Espetáculo de Circo - Cia Trupe Liud's - Live Da Casa com Cia. Liuds.,07/03/21
Pregão,4.0,29,0.0,6210202100005680,12,24/02/2022,,0.0,258,0.0,2.0,0.0,0.0,70700.0,70700.0,2021,,Hospital do Servidor Público Municipal,0.0,,HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL,70700.0,Termo de Contrato para Aquisição de Bens de Consumo e/ou Permanente,ALBUMINA HUMANA EM SOLUÇÃO INJETÁVEL COM 200,07/03/21
Inexigibilidade,1.0,30,0.0,6025202100008110,7,25/01/2021,,0.0,259,2000.0,25.0,2000.0,0.0,2000.0,2000.0,2021,,Secretaria Municipal de Cultura,0.0,,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,2000.0,Nota de Empenho para Fornecimento de Serviços,SMC - ONLINE - TERRITORIO CIDADE ADEMAR -  Intervenção Artística - Mergulha Cia de Teatro - Show de Mimica no Ponto.,07/03/21
